Code,Zone Category,Space Description,Space Category Codes,Source (for internal use),Include in BuildUp Area Calc.?,Include in Gross Area Calc.?,Include in Net Area Calc.?,Include in Gross Floor Area Calc.?,,,,,,,,,,,,,,,,,,,,,,,,,
87,Living Space,Supervisor Room,SC_25_25_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
88,Living Space,Driver Room,SC_25_25_30,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
89,Living Space,Guard Room,SC_25_25_35,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
90,Living Space,Watchman Room,SC_25_25_40,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
91,Living Space,Study Room,SC_25_30_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
92,Living Space,Dressing Room,SC_25_35_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
93,Living Space,TV Room,SC_25_40_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
94,Other Areas,Driveway,SC_30_10_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
95,Other Areas,Parking,SC_30_10_15,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
96,Other Areas,Bus Parking,SC_30_10_20,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
97,Other Areas,Car Ramp,SC_30_10_25,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
98,Other Areas,Ramp,SC_30_10_30,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
